precinct,population
MPUNGAMHLOPHE,16212.872006586202
GLEN GREY,37896.544375768506
MOTSWEDI,50237.88940951953
MATLALA,94063.65087417641
GRAHAMSTOWN,34997.00847082055
VIOOLSDRIF,1249.8166075748231
MAHWELERENG,151652.61215492745
ORLANDO,132759.41019606113
KOMMISSIEPOORT,1499.4124205597568
PHILIPPI EAST,56093.15580732562
ATAMELANG,35583.35692393106
NDEVANA,24031.593212997715
RABIE RIDGE,121139.31575469648
LENTEGEUR,86391.25346788089
HEIDEDAL,25423.868593339335
SKUKUZA,5312.552790494097
REDDERSBURG,5581.841095882133
MBUZINI,22416.12467543943
TSHAMUTUMBU,21485.966330452142
BREYTEN,17126.91316241955
KAMIESKROON,6460.758220653488
VERULAM,112028.81012084082
LAERSDRIFT,4365.415064642499
PIENAAR,102263.3575331438
DA GAMASKOP,24985.270683711664
LANGLAAGTE,24972.616110848838
PHILADELPHIA,7310.145163229789
THORNVILLE,15232.407458323807
MASISI,20956.1013062533
MTUBATUBA,31415.43940013569
BOSCHKOP,30417.066144863715
BRANDVLEI,3472.343691472433
KING WILLIAM'S TOWN,43443.84924691526
BOLOBEDU,166745.34794311144
RAWSONVILLE,13072.055977389899
VILLIERIA,54501.261316034266
DOBSONVILLE,234876.82512683413
ZWELITSHA,38470.91349046466
TLHABANE,84904.56441433477
HENDRINA,33064.400002720824
LEBOWAKGOMO,137497.4501072326
CALCUTTA,163991.12539379337
KOKSTAD,57888.328445262756
VAL,4473.860503290858
TOUWS RIVER,8762.42770555742
SEBOKENG,164439.06089918807
KEI ROAD,2423.0937354766743
KLAWER,11035.115497833045
PHALABORWA,13875.63624484029
PORT EDWARD,32428.74438684171
KENTON ON SEA,11799.978902497782
CALA,46723.21452433891
INT AIRP KING SHAKA,182.9291540141828
NELSPRUIT,80714.63347938999
DUDUDU,27200.786641901483
VANDERKLOOF,1394.4095743645496
PAMPIERSTAT,36278.954619692595
OUDTSHOORN,74632.64668770402
NIEUWOUDTVILLE,2794.4935474178546
MARA,3262.3878236977494
RUST DE WINTER,3349.361640797313
CAMBRIDGE,83543.77249049535
LENASIA SOUTH,83582.16198680048
MAYFLOWER,38873.04908447739
RHODES,2022.596686390188
MPUMALANGA KZN,105266.6690315812
VILJOENSDRIF,6121.306374661482
WATERVAL BOVEN,7726.27207121057
PACALTSDORP,25522.543903613456
LEPHALALE,51186.09090131638
MAMELODI EAST,260784.33931343636
MELODING,40494.57910056286
ELANDS BAY,2570.8427251539265
NORWOOD,44060.279724696826
BETHLEHEM,87343.09662421979
WINTERTON,15508.694289438885
POLOKWANE,67556.79597892011
LIME ACRES,4845.636306884527
NTAMBANANA,35956.00809804948
MARIKANA,56873.3687165266
HEALDTOWN,5328.281284808324
HANOVER,5414.834332896402
BARRYDALE,7452.356748125659
ATLANTIS,79631.19431841915
LULEKANI,52933.213122347915
HANKEY,13703.544738493285
BUTTERWORTH,45370.573030659434
KATHU,19401.222998389425
DAVEL,7139.003613859396
CEDARVILLE,6543.388271603287
WAKKERSTROOM,10170.942338981662
PLESSISLAER,260994.7752664661
TUMAHOLE,39404.58576647095
BETHANIE,52588.182566262796
BRONVILLE,30044.912674365678
MATATIELE,14230.420852652533
VENTERSBURG,12880.153237336046
WENTWORTH,45751.33423010904
GOODWOOD,43921.98268223006
MULDERSDRIFT,32744.454733857754
MARGATE,63123.944157566344
HARBURG,13815.749262278692
EKOMBE,55910.75321433664
NORKEMPARK,70212.61817786879
FOLWENI,68500.49398761899
HEIDELBERG(C),15579.467499831682
HILLCREST,98659.66652806017
GROENVLEI,5253.824415150951
GERMISTON,72346.28592271896
GLENDALE,11600.12675314753
MABOPANE,88255.21444751142
THOMAS RIVER,664.8686066283974
RICHMOND-KZN,46623.08174714229
WANDA,980.2775369482363
RUSTENBURG,105472.8367250787
PAROW,60339.1882565746
ASSEN,5984.503155252212
OR TAMBO INTERN AIRP,170.34857897158162
BUSHBUCKRIDGE,108064.85555099
SIYABUSWA,114827.77085328638
BENONI,119025.29723328627
VREDE,20224.07260282558
MUDEN,13268.318841057298
WINBURG,15680.584763785733
LESLIE,36446.050164516695
WILLOWVALE,83329.93788598859
CARNARVON,7989.64506151427
MONTAGU,23408.200458837575
MID ILLOVO,23597.530183363997
CATO MANOR,95617.76913873445
ULUNDI,65077.013742410614
LADY FRERE,54244.35060405724
TARKASTAD,8082.131085097352
VENTERSDORP,54351.30192100964
RONDEBOSCH,14758.908906880142
QUEENSTOWN,35881.83974772907
DENEYSVILLE,20932.765798286542
LAMONTVILLE,33469.17112860727
KLERKSDORP,84122.77569788162
SASOLBURG,31894.840259318225
ROEDTAN,2823.4071575064913
SAKHILE,27195.199557057564
MMAKAU,29426.643676547526
KWADUKUZA,157244.21887637084
PRINCE ALBERT,10020.35569956918
CONVILLE,47205.11530240004
HOBHOUSE,4832.448771091671
ROODEPOORT,180157.3484174046
MONDEOR,157298.7363061687
SUNDUMBILI,74737.88680752921
RANDFONTEIN,149530.36840295183
VANWYKSVLEI,2280.3845005461826
JOZINI,75036.28771004546
HOUT BAY,33286.50583841655
NAMAHADI,55863.0182157766
WORCESTER,114202.82852978684
HARTEBEESKOP,11187.871560675978
BRIDGE CAMP,15731.88866612611
SOMERSET WEST,57097.68214750395
DULLSTROOM,7432.650105011361
ROSENDAL,5847.178179122502
DE DOORNS,35101.8264620998
TSOLO,110557.69002377854
SENWABARWANA,93887.6378203339
MAHIKENG,76633.90635078154
PORTERVILLE,15713.534910947648
