small_area,precinct,weight
4990076,BOTSHABELO,0.00366405981943
4990712,BOTSHABELO,0.00702278132058
4990568,BOTSHABELO,0.00653424001133
4990866,BOTSHABELO,0.00752353616257
4990535,BOTSHABELO,0.00602782217875
4990254,BOTSHABELO,0.00511747021448
4990207,BOTSHABELO,0.00481213189619
4991214,BOTSHABELO,0.00983189384882
4991048,BOTSHABELO,0.00826856165919
4990711,BOTSHABELO,0.00702278132058
4990875,BOTSHABELO,0.00754796322804
4990406,BOTSHABELO,0.00587470924383
4991249,BOTSHABELO,0.0107479088037
4991128,BOTSHABELO,0.00880595709938
4990424,BOTSHABELO,0.00597241750568
4990988,BOTSHABELO,0.00797543687364
4990412,BOTSHABELO,0.00591134984202
4990571,BOTSHABELO,0.00654645354406
4990214,BOTSHABELO,0.00486098602712
4990365,BOTSHABELO,0.00578921451471
4990705,BOTSHABELO,0.00701056778785
4991112,BOTSHABELO,0.00863496764113
4990538,BOTSHABELO,0.00639989115128
4990625,BOTSHABELO,0.0067174430023
4991232,BOTSHABELO,0.010186086298
4990960,BOTSHABELO,0.00785330154632
4990152,BOTSHABELO,0.00449458004517
4990774,BOTSHABELO,0.00720598431156
4991114,BOTSHABELO,0.00864718117387
4990821,BOTSHABELO,0.0073769737698
4991266,BOTSHABELO,0.0113585854402
4990241,BOTSHABELO,0.00505640255082
4990162,BOTSHABELO,0.00459228830703
4990487,BOTSHABELO,0.00621668816031
4990587,BOTSHABELO,0.00659530767498
4990453,BOTSHABELO,0.00610676636572
4990750,BOTSHABELO,0.00715713018063
4990485,BOTSHABELO,0.00621668816031
4990015,BOTSHABELO,0.000598463103841
4990009,BOTSHABELO,0.000364437323237
4990063,BOTSHABELO,0.00327845887269
4990784,BOTSHABELO,0.00724262490975
4990896,BOTSHABELO,0.00759681735896
4990940,BOTSHABELO,0.00778002034993
4991106,BOTSHABELO,0.00859832704294
4991113,BOTSHABELO,0.00863496764113
4991302,BOTSHABELO,0.0166130259971
4990305,BOTSHABELO,0.00549608972915
4990531,BOTSHABELO,0.00637546408582
4990644,BOTSHABELO,0.00677851066595
4990776,BOTSHABELO,0.00721819784429
4990791,BOTSHABELO,0.00727926550794
4990792,BOTSHABELO,0.00727926550794
4990802,BOTSHABELO,0.00731590610614
4990862,BOTSHABELO,0.00751132262984
4990893,BOTSHABELO,0.00759681735896
4990948,BOTSHABELO,0.00781666094813
4991029,BOTSHABELO,0.00813421279915
4991046,BOTSHABELO,0.00825634812646
4991070,BOTSHABELO,0.00836626992104
4991124,BOTSHABELO,0.00873267590299
4991190,BOTSHABELO,0.00944106080141
4991206,BOTSHABELO,0.0097097585215
4990325,BOTSHABELO,0.00555715739281
4990335,BOTSHABELO,0.00564265212193
4990433,BOTSHABELO,0.00599684457114
4990521,BOTSHABELO,0.00633882348762
4990653,BOTSHABELO,0.00682736479688
4990724,BOTSHABELO,0.00705942191878
4990726,BOTSHABELO,0.00707163545151
4990749,BOTSHABELO,0.00715713018063
4990973,BOTSHABELO,0.00790156602357
4991040,BOTSHABELO,0.00820749399553
4990986,BOTSHABELO,0.00796322334091
4990247,BOTSHABELO,0.00508082961628
4990361,BOTSHABELO,0.00576478744924
4990366,BOTSHABELO,0.00578921451471
4990481,BOTSHABELO,0.00620447462758
4990648,BOTSHABELO,0.00680293773142
4990654,BOTSHABELO,0.00682736479688
4990742,BOTSHABELO,0.00713270311517
4990801,BOTSHABELO,0.00731590610614
4990837,BOTSHABELO,0.00742582790072
4990888,BOTSHABELO,0.0075723902935
4990920,BOTSHABELO,0.00769452562081
4991191,BOTSHABELO,0.0094777013996
4991193,BOTSHABELO,0.0095143419978
4991220,BOTSHABELO,0.00995402917613
4990026,BOTSHABELO,0.001122763647
4991083,BOTSHABELO,0.00847619171563
4990267,BOTSHABELO,1.24134218371e-05
4990826,BOTSHABELO,0.00691138930388
4990951,BOTSHABELO,0.00742395741045
4990998,BOTSHABELO,0.00767055326289
4990883,BOTSHABELO,0.00756017676077
4990388,BOTSHABELO,0.00585028217836
4991013,BOTSHABELO,0.00761331908622
4990991,BOTSHABELO,0.00787478016304
4991183,BOTSHABELO,0.00936777960502
4990983,BOTSHABELO,0.00795100980817
4990819,BOTSHABELO,0.0072614971072
4991189,BOTSHABELO,0.00916747544554
4990915,BOTSHABELO,0.00767009855535
4991158,BOTSHABELO,0.00907465481947
4991142,BOTSHABELO,0.00890366536123
4991246,BOTSHABELO,0.0106257734764
4990775,BOTSHABELO,0.00721819784429
4990431,BOTSHABELO,0.00599684457114
4990590,BOTSHABELO,0.00660752120771
4990771,BOTSHABELO,0.00707533670104
4990688,BOTSHABELO,0.00620472740838
4990413,BOTSHABELO,0.00512164934872
4990952,BOTSHABELO,0.00782887448086
4991030,BOTSHABELO,0.00814642633188
4991004,BOTSHABELO,0.00803650453729
4990363,BOTSHABELO,0.00577700098198
4990348,BOTSHABELO,0.00567929272012
4990805,BOTSHABELO,0.00732811963887
4990475,BOTSHABELO,0.00598047829231
4991087,BOTSHABELO,0.00851283231382
4991201,BOTSHABELO,0.00956319612872
4991080,BOTSHABELO,0.00843955111743
4990592,BOTSHABELO,0.00661973474045
4990963,BOTSHABELO,0.00787772861178
4990008,BOTSHABELO,0.000326241099402
4991022,BOTSHABELO,0.00809757220095
4991041,BOTSHABELO,0.00820749399553
4990634,BOTSHABELO,0.00655895818803
4990917,BOTSHABELO,0.00767009855535
4990464,BOTSHABELO,0.00613119343119
4990772,BOTSHABELO,0.00720598431156
4991064,BOTSHABELO,0.0080537263042
4991082,BOTSHABELO,0.00846397818289
4990539,BOTSHABELO,0.00639989115128
4990604,BOTSHABELO,0.00666858887137
4990605,BOTSHABELO,0.0064708854459
4990615,BOTSHABELO,0.00669301593683
4990707,BOTSHABELO,0.00687583384775
4990909,BOTSHABELO,0.0064387036306
4991069,BOTSHABELO,0.00785626275524
4990911,BOTSHABELO,0.00734994862169
2730146,KUBUSIEDRIFT,0.350075598222
2730068,KUBUSIEDRIFT,0.00936852381207
2730201,KUBUSIEDRIFT,0.412453715751
2720087,KUBUSIEDRIFT,0.000154080443259
2730088,KUBUSIEDRIFT,0.227908949424
2720041,KUBUSIEDRIFT,1.54154321556e-09
2730060,KUBUSIEDRIFT,3.91308066269e-05
2730009,STUTTERHEIM,0.000708829256707
2730146,STUTTERHEIM,0.00469487184252
2730068,STUTTERHEIM,0.000750632408906
2730082,STUTTERHEIM,0.00815153645213
2730116,STUTTERHEIM,0.0102135851989
2730106,STUTTERHEIM,0.00976251203556
2730215,STUTTERHEIM,0.0148531948792
2730137,STUTTERHEIM,0.0114057071306
2730206,STUTTERHEIM,0.0142088046458
2730296,STUTTERHEIM,0.0225214386563
2730088,STUTTERHEIM,0.00469589232509
2730005,STUTTERHEIM,0.000578899176767
2730093,STUTTERHEIM,0.00901432815887
2730150,STUTTERHEIM,0.000103746485003
2730280,STUTTERHEIM,0.0197827801645
2730235,STUTTERHEIM,0.0168830241143
2730282,STUTTERHEIM,0.0202016338162
2730268,STUTTERHEIM,0.0191383899311
2730269,STUTTERHEIM,0.0191706094428
2730228,STUTTERHEIM,0.0160130972992
2730207,STUTTERHEIM,0.0142732436691
2730199,STUTTERHEIM,0.0139832680641
2730222,STUTTERHEIM,0.0154331460892
2730285,STUTTERHEIM,0.0209104630729
2730122,STUTTERHEIM,0.0104069022689
2730161,STUTTERHEIM,0.0121789754107
2730113,STUTTERHEIM,0.0100524876406
2730310,STUTTERHEIM,0.0347326335786
2730136,STUTTERHEIM,0.0113090485956
2730238,STUTTERHEIM,0.017108560696
2730119,STUTTERHEIM,0.0103424632456
2730179,STUTTERHEIM,0.0131133412491
2730142,STUTTERHEIM,0.0115023656657
2730103,STUTTERHEIM,0.00976251203556
2730245,STUTTERHEIM,0.0175274143477
2730107,STUTTERHEIM,0.00985917057056
2730227,STUTTERHEIM,0.0159808777876
2730294,STUTTERHEIM,0.0221025850046
2730232,STUTTERHEIM,0.0162708533926
2730303,STUTTERHEIM,0.0270321702899
2730298,STUTTERHEIM,0.022746975238
2730233,STUTTERHEIM,0.0163997314393
2730274,STUTTERHEIM,0.0195250240711
2730295,STUTTERHEIM,0.0222959020746
2730243,STUTTERHEIM,0.017398536301
2730284,STUTTERHEIM,0.0208460240495
2730259,STUTTERHEIM,0.0184939996977
2730300,STUTTERHEIM,0.024003536193
2730213,STUTTERHEIM,0.0146276582975
2730230,STUTTERHEIM,0.0161097558343
2730293,STUTTERHEIM,0.0220381459813
2730292,STUTTERHEIM,0.0220059264696
2730223,STUTTERHEIM,0.0157231216942
2730297,STUTTERHEIM,0.0225214386563
2730063,STUTTERHEIM,0.00654056086871
2730026,STUTTERHEIM,0.0029641950735
2730186,STUTTERHEIM,0.0134033168541
2730154,STUTTERHEIM,0.011953438829
2730217,STUTTERHEIM,0.0150465119492
2730271,STUTTERHEIM,0.0192994874894
2730275,STUTTERHEIM,0.0195894630944
2730091,STUTTERHEIM,0.000280854149886
2730096,STUTTERHEIM,2.29461869807e-06
2730130,STUTTERHEIM,8.38809867576e-05
2730060,STUTTERHEIM,6.45921886901e-10
2730078,STUTTERHEIM,0.00792599987045
2730313,STUTTERHEIM,0.0415631700524
2730125,STUTTERHEIM,0.0104713412923
2730156,STUTTERHEIM,0.0119856583407
2730037,STUTTERHEIM,1.07234481133e-06
2600024,STUTTERHEIM,6.78748447681e-07
2730218,STUTTERHEIM,0.014987332585
2730241,STUTTERHEIM,0.00244522397133
2730003,STUTTERHEIM,1.41460667176e-07
2730014,STUTTERHEIM,0.00125330316729
2730086,STUTTERHEIM,0.00873030151479
2991806,MOTHERWELL,0.0105647067348
2990045,MOTHERWELL,3.36387431663e-09
2990538,MOTHERWELL,0.00531684300862
2990976,MOTHERWELL,0.00644372688328
2990952,MOTHERWELL,0.00638226049012
2990367,MOTHERWELL,0.00466120148155
2991171,MOTHERWELL,0.00702765761834
2991040,MOTHERWELL,0.00662812606277
2990954,MOTHERWELL,0.00638226049012
2990725,MOTHERWELL,0.00577784095735
2991432,MOTHERWELL,0.00802136430781
